Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var2
25,5,25,0,1639705,unknown
25,100,40,0,2647065,bankssts
125,100,160,0,10511485,caudalanteriorcingulate
100,25,0,0,6500,caudalmiddlefrontal
120,70,50,0,3294840,corpuscallosum
220,20,100,0,6558940,cuneus
220,20,10,0,660700,entorhinal
180,220,140,0,9231540,fusiform
220,60,220,0,14433500,inferiorparietal
180,40,120,0,7874740,inferiortemporal
140,20,140,0,9180300,isthmuscingulate
20,30,140,0,9182740,lateraloccipital
35,75,50,0,3296035,lateralorbitofrontal
225,140,140,0,9211105,lingual
200,35,75,0,4924360,medialorbitofrontal
160,100,50,0,3302560,middletemporal
20,220,60,0,3988500,parahippocampal
60,220,60,0,3988540,paracentral
220,180,140,0,9221340,parsopercularis
20,100,50,0,3302420,parsorbitalis
220,60,20,0,1326300,parstriangularis
120,100,60,0,3957880,pericalcarine
220,20,20,0,1316060,postcentral
220,180,220,0,14464220,posteriorcingulate
60,20,220,0,14423100,precentral
160,140,180,0,11832480,precuneus
80,20,140,0,9180240,rostralanteriorcingulate
75,50,125,0,8204875,rostralmiddlefrontal
20,220,160,0,10542100,superiorfrontal
20,180,140,0,9221140,superiorparietal
140,220,220,0,14474380,superiortemporal
80,160,20,0,1351760,supramarginal
100,0,100,0,6553700,frontalpole
70,20,170,0,11146310,temporalpole
150,150,200,0,13145750,transversetemporal
255,192,32,0,2146559,insula
